run_id,run_kind,series_id,sensor,edz_band_cm,row_count,compared_rows,diagnostic_statuses,date_min,date_max,compared_date_min,compared_date_max,mean_abs_time_delta_days,model_taupe_standardized_pearson,delta_sign_agreement_fraction,standardized_residual_mean,standardized_residual_mae,standardized_residual_rmse,taupe_standardized_min,taupe_standardized_max,model_standardized_min,model_standardized_max,model_theta_min,model_theta_max,model_theta_baseline,model_theta_robust_scale
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A4_10-20cm,A4,10-20,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.4179991801601635,0.9741935483870968,-0.8230491677994939,1.161854749237358,1.4159610171327226,-4.355263797683731,1.7946116466055737,-4.173363229471626,0.2803457499603274,0.0774594466933939,0.0938327155504205,0.0928020742673408,0.0036763221244678
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A4_20-30cm,A4,20-30,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.115968302737997,0.0451612903225806,-3.5949590143022263,3.6473359221714814,3.7702709152890135,-3.8764701714033074,3.1625728267221827,-3.418973626849489,0.1827401884640817,0.084331177088038,0.0988626188755973,0.0981253369739584,0.0040345909010802
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A4_30-40cm,A4,30-40,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.7609612238036011,0.9483870967741936,1.2454823263253834,1.3527369631155988,1.5857876532130428,-6.504903791978946,0.7909779151789939,-3.41158135778848,0.1542930527326278,0.088235033359326,0.1010596395244142,0.1005047272062835,0.0035964828506716
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A4_40-50cm,A4,40-50,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.7949887393589505,1.0,1.7160734152977402,1.7242051271416658,1.8621548549936016,-6.139245072765298,0.7586566206866975,-3.405851039609298,0.1284489527824432,0.0917451638138489,0.1025899078499644,0.1021957715237806,0.0030684277111339
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A7_0-10cm,A7,0-10,212,0,operator_not_mapped_for_current_mesh=212,2019-12-01,2025-10-10,,,,,,,,,,,,,,,,
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A7_0-50cm,A7,0-50,212,0,operator_not_mapped_for_current_mesh=212,2019-12-01,2025-10-10,,,,,,,,,,,,,,,,
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A7_10-20cm,A7,10-20,212,0,operator_not_mapped_for_current_mesh=212,2019-12-01,2025-10-10,,,,,,,,,,,,,,,,
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A7_20-30cm,A7,20-30,212,0,operator_not_mapped_for_current_mesh=212,2019-12-01,2025-10-10,,,,,,,,,,,,,,,,
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A7_30-40cm,A7,30-40,212,0,operator_not_mapped_for_current_mesh=212,2019-12-01,2025-10-10,,,,,,,,,,,,,,,,
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A7_40-50cm,A7,40-50,212,0,operator_not_mapped_for_current_mesh=212,2019-12-01,2025-10-10,,,,,,,,,,,,,,,,
